DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
USA;AXM;11011;10808289;4572565553
PAN;AXM;2158;18547;7846512366
DEU;BOG;576;447552;1814268395
DEU;BOG;84;525;222107025
DEU;BOG;30;114;48228954
DEU;BOG;90;3135;132629623
DEU;BOG;5;307;12987972
DEU;BOG;144;768;324910848
DEU;BOG;8;37;15653257
DEU;BOG;32;3355612;1422393593
DEU;BOG;20;3280;138764008
DEU;BOG;50;77414;3275084425
DEU;BOG;18;6624;2802356064
DEU;BOG;25;6200;26229781
DEU;BOG;30;4920;208146012
DEU;BOG;35;6860;290219846
DEU;BOG;20;2560;108303616
DEU;BOG;1031;10792611;4562457582
DEU;BOG;2;1161212;4893312531
DEU;BOG;8960;16128;68231278
DEU;BOG;140;20077194;8465718567
DEU;BOG;4900;882;3715425
DEU;BOG;14400;2592;10918800
DEU;BOG;10555;18919;800646404
DEU;BOG;37203;663934;2809748769
DEU;BOG;58832;1577371;6602233845
DEU;BOG;2825;452;191223572
DEU;BOG;23620;42634;1789415985
DEU;BOG;9;18;7653762
DEU;BOG;495;1445;614427
DEU;BOG;78;195;82915755
DEU;BOG;20;75;31890675
DEU;BOG;2706;10305;438177874
DEU;BOG;99;3672;156136744
DEU;BOG;81;2769;117740372
DEU;BOG;1962;1008;428610672
DEU;BOG;17706;7254;3084466086
DEU;BOG;29;164;69734276
DEU;BOG;325;1215;51662893
DEU;BOG;140;31766;1346513091
DEU;BOG;30;4514457;1905728364
DEU;BOG;28478;98500;417526725
DEU;BOG;27;61500;260689275
DEU;BOG;106196;2840836;1197021349
DEU;BOG;10;61991;255441354
DEU;BOG;270;961438;3961720651
DEU;BOG;12;35354;145680399
DEU;BOG;1;608;25053369
DEU;BOG;32;150;637350
DEU;BOG;3;120;4944744
DEU;BOG;1;3710;162745086
DEU;BOG;31;240964;1015415067
DEU;BOG;4;32786;13815922
DEU;BOG;27;317202;1336679711
DEU;BOG;8;34071;1381156569
DEU;BOG;24;151978;637709295
DEU;BOG;2;100;405376
DEU;BOG;2;549978;2266250346
DEU;BOG;37600;6812;2884885424
DEU;BOG;11520;20736;8735040
DEU;BOG;63680;1150384;48459926
DEU;BOG;4400;836;3552164
DEU;BOG;8800;1672;7104328
DEU;BOG;5476;93092;39215005
DEU;BOG;16438;34638;145912575
DEU;BOG;2802;396594;1677834542
DEU;BOG;1;240224;99487088
DEU;BOG;1;36198;149911483
DEU;BOG;1;268195;1110710818
DEU;BOG;50;4345;184649899
DEU;BOG;300;6845;290892649
DEU;BOG;24480;4892;20786108
DEU;BOG;2250;672;284296992
DEU;BOG;26256;2849186;1200219603
DEU;BOG;23220;319957;135088725
DEU;BOG;70780;1080106;4562043843
DEU;BOG;1800;9245;391881682
DEU;BOG;1550;1012275;4294960455
DEU;BOG;5;55000;222956800
DEU;BOG;2714;321464;141015327
DEU;BOG;12521;9440;399065616
DEU;BOG;7100;1278;5383575
DEU;BOG;41367;745006;3138337775
DEU;BOG;1;63961;271770289
DEU;BOG;246;208167;864921394
DEU;BOG;7537;41130;1743439005
DEU;BOG;1300;7800;33063030
DEU;BOG;2;1;423885
DEU;BOG;180;477;202193145
DEU;BOG;3420;181838;7707840063
DEU;BOG;4800;624;263990064
DEU;BOG;20;847;36015202
DEU;BOG;25;11266;48109937
DEU;BOG;130;4894;208093261
DEU;BOG;26;11295;48027357
DEU;BOG;10;4;1692788
DEU;BOG;13;15771;67059711
DEU;BOG;216;80875;351438501
DEU;BOG;70;3299;141972097
DEU;BOG;1125;588452;2528188148
DEU;BOG;17;864;36738058
DEU;BOG;1000;12249;5146454
DEU;BOG;319;578257;2429564133
DEU;BOG;253671;138811;581203045
DEU;BOG;2040;27744;116912383
DEU;BOG;2380;32368;13639778
DEU;BOG;40200;65184;2768215968
DEU;BOG;230280;368844;156569128
DEU;BOG;180;27;11843982
DEU;BOG;4760;6188;261790146
DEU;BOG;2380;3094;130895073
DEU;BOG;13320;21312;900941356
DEU;BOG;91980;136908;5789036573
DEU;BOG;8160;2448;1024590432
DEU;BOG;8;8800;37301880
DEU;BOG;2;2200;9325470
DEU;BOG;48568;39695;1672151875
DEU;BOG;834;834;3529462
DEU;BOG;32845;46465;1883579584
DEU;BOG;338121;245878387;10373020843
DEU;BOG;560;1975322;8359503444
DEU;BOG;21625;6386388;2801491278
DEU;BOG;300;8831;363891952
ARM;BOG;60;12;49447
ARM;BOG;448;14688;64431262
ARM;BOG;800;148;60100284
ARM;BOG;1540;2464;108087302
ARM;BOG;37690;56535;2479998231
ARM;BOG;10560;32704;1425698176
ARM;BOG;700;126;5340951
ABW;BOG;2864;97786;428953934
ABW;BOG;2532;86624;379990035
ABW;BOG;1593;46456;203786676
ABW;BOG;25;3875;169983075
ABW;BOG;156;10734;47086408
ABW;BOG;161;65125;285681232
ABW;BOG;4325;1384;585516424
ABW;BOG;3340;15635;661455873
ABW;BOG;169;9312;393954402
ABW;BOG;13566;514846;2182354966
ABW;BOG;564;21405;90732584
ABW;BOG;377;14308;60649465
ABW;BOG;1317;49982;2118662
ABW;BOG;752;2854;120976779
ABW;BOG;376;1427;60488389
ABW;BOG;29025;1101532;4669228908
ABW;BOG;9096;64365;27283358
ABW;BOG;30;877;36137837
ABW;BOG;120;31392;129354503
ABW;BOG;24;38766;163646404
ABW;BOG;344;576612;2434104129
ABW;BOG;75;2378;1003846542
ABW;BOG;347;74762;3155995591
ABW;BOG;41;205;85833705
ABW;BOG;8;18;7598502
ABW;BOG;4591;139065;610030872
ABW;BOG;200;6058;26574386
ABW;BOG;998;3023;132608731
ABW;BOG;798;24172;106034345
ABW;BOG;600;18174;79723158
ABW;BOG;200;6058;26574386
ABW;BOG;7985;241876;1061027768
ABW;BOG;715;36288;159183118
ABW;BOG;225;3300;13598046
ABW;BOG;86;14442;59509994
ABW;BOG;21;35079;144547228
ABW;BOG;113;338879;1396391584
ABW;BOG;241;525443;2165150934
ABW;BOG;60;16826;693335521
ABW;BOG;228;497533;205014443
ABW;BOG;12;5466;22523308
ABW;BOG;524;5824;246870624
ABW;BOG;291;23069;97786029
ABW;BOG;4188;239364;1002219461
ABW;BOG;3682;19536;817974273
ABW;BOG;31067;66356;2778332355
ABW;BOG;14412;61644;2581040444
ABW;BOG;1666;10992;460236139
ABW;BOG;325;15457;6369242334
ABW;BOG;21;567;233639154
ABW;BOG;4725;1542;66877168
ABW;BOG;250;35;14654535
ABW;BOG;1750;2425;10450872
ABW;BOG;2630;6576;282440245
ABW;BOG;1660;498;214719138
ABW;BOG;500;3165;137690566
ABW;BOG;5437;268991;115770332
ABW;BOG;188;251424;1073405048
ABW;BOG;60;12272;5173993
ABW;BOG;55;12453;52519512
ABW;BOG;168;36655;154617151
ABW;BOG;60;12273;52694354
ABW;BOG;55;12452;53537524
ABW;BOG;168;36655;157724417
ABW;BOG;38922;34810196;1508545745
ABW;BOG;474;379259;1603275704
BIH;BOG;5;40;1685588
BIH;BOG;31755;88915;3753448918
BIH;BOG;9000;1080;45591012
AGO;BOG;3;1229998;5226261502
AGO;BOG;30;35487;150784263
AGO;BOG;95;29965;127321285
AGO;BOG;2385;145522;618322978
AGO;BOG;265;5657;24036593
SAU;BOG;920;7668;324156265
SAU;BOG;8772;587526;2480176381
SAU;BOG;11948;941873;4027265395
SAU;BOG;10;138;6015972
SAU;BOG;962;36556;159362226
SAU;BOG;30;1212;51274993
SAU;BOG;20;1182;5000581
SAU;BOG;28;1281;54194114
SAU;BOG;16;672;28429699
SAU;BOG;14;504;21322274
SAU;BOG;45;13875;58699713
SAU;BOG;25;1485;62824558
SAU;BOG;153;785;33210288
SAU;BOG;20;90;3807549
SAU;BOG;17;9267;3756619392
SAU;BOG;6;1711;693598336
SAU;BOG;3;891;361190016
SAU;BOG;16;2014609;8489501887
SAU;BOG;6;5144456;2167858325
SAU;BOG;12900;4093;1695087299
SAU;BOG;800;152;62949736
SAU;BOG;210;21;8697
SAU;BOG;540;1728;7156391
SAU;BOG;610;6845;283480883
SAU;BOG;700;219;90697317
SAU;BOG;469;2582;1069317226
SAU;BOG;5040;4617648;1945863014
SAU;BOG;8400;769608;3249508162
SAU;BOG;4219;148404;6509978905
SAU;BOG;720;10320;427395576
SAU;BOG;130;10964;468890548
SAU;BOG;260;150825;646650446
SAU;BOG;1335;6173;264769206
SAU;BOG;73;4827;208424236
SAU;BOG;1539;11534;496386746
SAU;BOG;126;11256;47861525
SAU;BOG;20;180;7562754
SAU;BOG;2;11985;50802617
SAU;BOG;8;68;288241
SAU;BOG;1;726;3077405
SAU;BOG;37;186316;789765576
SAU;BOG;4;177705;755194715
SAU;BOG;1;42432;179862883
DZA;BOG;17;750;31660425
DZA;BOG;2943;1975572;8374153372
ARG;BOG;50;190931;804577506
ARG;BOG;61;38950;165498550
ARG;BOG;2;3250;13809250
ARG;BOG;31460;3146;1331377762
ARG;BOG;95950;264465;1152908721
ARG;BOG;51702;10376;43708900
ARG;BOG;64;1010;41964894
ARG;BOG;13273;236254;978429403
ARG;BOG;3200;58448;2428479331
ARG;BOG;275077;8419045;3562497931
ARG;BOG;151368;141713;5995324349
ARG;BOG;300;29371;1244992633
ARG;BOG;1200;7668;3113844444
ARG;BOG;2;373316;1515972812
ARG;BOG;250707;234715;9929876261
ARG;BOG;78;1880;82469208
ARG;BOG;7;68528;282377847
ARG;BOG;20;1456;61717656
ARG;BOG;1;3262;13827128
ARG;BOG;1;7385;31303907
ARG;BOG;5;4305;18248249
ARG;BOG;1;850;36030225
ARG;BOG;29;36;1525986
ARG;BOG;8;73415;311195172
ARG;BOG;1;4456;18888315
ARG;BOG;1;1297;549778845
ARG;BOG;1;2846;12063767
ARG;BOG;1;143;60615555
ARG;BOG;10;321;13606708
ARG;BOG;4;3484;14768153
ARG;BOG;10;108;4577958
ARG;BOG;3;7364;3109147
ARG;BOG;1300;78;33166302
ARG;BOG;17;17226;73246502
ARG;BOG;72;6156;26175865
ARG;BOG;12;297064;1243809938
ARG;BOG;17075;223683;929389444
ARG;BOG;760;4712;195780772
ARG;BOG;18625;55505;2354988744
ARG;BOG;4200;462;193439862
ARG;BOG;355;3045;127494454
ARG;BOG;3240;6704;28485296
ARG;BOG;2;88168;386763038
ARG;BOG;179;1746727;7501828342
ARG;BOG;2;6464;2835537
ARG;BOG;1;9983;40468686
ARG;BOG;896800;4481509;1874082415
ARG;BOG;1;2285;100235181
ARG;BOG;60000;51516;2174691272
ARG;BOG;21;21434;86888291
ARG;BOG;69;328422;1331343966
ARG;BOG;1;21457;86981528
ARG;BOG;155;1108176;4492279541
ARG;BOG;24;140495;569533011
ARG;BOG;12;13715;55597318
ARG;BOG;202428;146355666;6197042738
AUS;BOG;216960;3824417;1614224632
AUS;BOG;19600;5467;2304265579
AUS;BOG;22000;2200;9288598
AUS;BOG;8100;4860;205607646
AUS;BOG;335;223;94270797
AUS;BOG;1500;315;132995835
AUS;BOG;5400;1134;478785006
AUS;BOG;7150;2431;1066397046
AUS;BOG;33600;5880;238776804
AUS;BOG;16850;3370;147830442
AUS;BOG;60770;116383;4717887501
AUS;BOG;2988;30024;1317050798
AUS;BOG;40;84;36847944
AUS;BOG;500;20;846394
AUS;BOG;140;4648;196701965
AUS;BOG;367;1011074;4277288006
AUS;BOG;5;16559;7007719
AUS;BOG;189;139288;591129465
AUS;BOG;4;1496;6064424
AUS;BOG;1;122;531846
AUS;BOG;149;194082;822210999
AUS;BOG;208;693501;2934931745
AUS;BOG;2791;6301127;2667995888
AUS;BOG;254;384982;1676833074
AUS;BOG;704;181348;75409223
AUS;BOG;3750;6565112;2765853528
AUS;BOG;150;1714;720142242
AUS;BOG;200;7821;343080678
AUS;BOG;2932;23040;1010686464
AUS;BOG;396;41497;18203323
AUS;BOG;1650;3135;127085376
AUS;BOG;1000;180;7536618
AUS;BOG;20800;768775;3268900489
AUS;BOG;16;29805;1300102719
AUS;BOG;5;750;30456225
AUS;BOG;4450;801;338613939
AUS;BOG;495;17381033;7624468222
AUS;BOG;2;20;824124
AUS;BOG;35675;85965;3628917913
AUS;BOG;640;896;378236544
AUS;BOG;630;11136;47009399
AUS;BOG;1725;298725;1261034727
AUS;BOG;20700;2958;1248687162
AUS;BOG;2400;504;212758056
AUS;BOG;1340;11306;477270352
AUS;BOG;476;532;224577948
AUS;BOG;24;804;3416196
AUS;BOG;216308;5274239;2228797773
AUS;BOG;28500;58905;2486609779
AUS;BOG;45000;8855;367919937
AUS;BOG;1620;8208;349011547
AUS;BOG;5670;17958;763590322
AUS;BOG;92;1325;55815625
AUS;BOG;20775;4729;2001469619
AUS;BOG;107;697;30385018
AUS;BOG;7750;14725;626120253
